id,name,type,lat,lon,opentime,endtime,price,recommendmintime,recommendmaxtime,star
0,灵隐寺,{历史古迹},30.246914,120.107833,6:30,17:45,0,0.5,1.5,4.9
1,杭州宋城,{游乐园/体育娱乐;沉浸式体验;亲子友好},30.175794,120.105381,9:30,21:00,300,1.5,2,4.8
2,西湖风景名胜区,{自然风光;网红打卡点;夜经济热点},30.228932,120.12792,0:00,24:00,0,1,2,4.9
3,西湖游船,{自然风光;网红打卡点},30.253883,120.155772,8:00,17:00,55,2,3,4.7
4,千岛湖景区,{自然风光;网红打卡点},29.593224,118.963964,0:00,24:00,185,1,2.5,4.8
5,西溪国家湿地公园,{公园;网红打卡点},30.27289,120.071528,7:30,18:30,70,0.5,1,4.7
6,灵隐飞来峰景区,{文化旅游区;小众秘境},30.245216,120.108516,6:30,17:30,45,0.5,1,4.7
7,垂云通天河,{游乐园/体育娱乐;沉浸式体验},29.931531,119.539381,8:00,18:30,100,2,2.5,4.8
8,OMG心跳乐园,{游乐园/体育娱乐;沉浸式体验},29.931461,119.538763,8:00,18:30,100,2,3,4.8
9,雷峰塔,{历史古迹;网红打卡点;夜经济热点},30.236901,120.155363,8:00,20:00,0,0.5,2,4.8
10,钱塘江,{自然风光;夜经济热点},30.135244,120.15319,0:00,24:00,0,2,3,4.9
11,钱塘江夜游,{人文景观;夜经济热点},30.216289,120.206476,9:00,19:20,85,0.5,1,4.6
12,千岛湖中心湖区,{自然风光;网红打卡点;亲子友好},29.600571,119.019626,0:00,24:00,185,2.5,4,4.2
13,岳王庙景区,{历史古迹},30.258673,120.141115,7:30,17:30,25,1,1.5,4.6
14,杭州野生动物世界,{游乐园/体育娱乐;亲子友好},30.16025,119.991307,9:30,16:30,210,2.5,3,4.8
15,京杭大运河杭州景区,{文化旅游区},30.280038,120.168853,9:00,20:20,119,2,3,4.7
16,三潭印月,{公园;网红打卡点},30.244073,120.150685,8:00,17:00,55,1,2.5,4.7
17,杭州长乔极地海洋公园,{游乐园/体育娱乐;亲子友好;沉浸式体验},30.148299,120.232994,9:00,17:00,360,2,3,4.6
