id,name,type,lat,lon,opentime,endtime,price,recommendmintime,recommendmaxtime,star
0,成都大熊猫繁育研究基地,{游乐园/体育娱乐;亲子友好;网红打卡点},30.747146,104.145729,7:30,17:00,55,0.5,2,4.6
1,都江堰景区,{自然风光;历史古迹;城市地标},31.00793,103.617627,8:00,18:00,80,0,1.5,4.8
2,武侯祠,{历史古迹;城市地标},30.652927,104.054625,8:30,19:00,50,2,3.5,4.8
3,杜甫草堂,{历史古迹;城市地标},30.666527,104.034938,8:30,19:00,50,2.5,4,4.8
4,青城山,{自然风光;城市地标},30.911742,103.569195,8:30,17:30,80,0.5,1,4.7
5,金沙遗址博物馆,{博物馆/纪念馆;历史古迹},30.687728,104.019188,9:00,18:00,66,2.5,3,4.8
6,成都博物馆,{博物馆/纪念馆;非遗体验},30.663457,104.070226,9:00,17:00,0,1,1.5,4.8
7,蜀风雅韵川剧院,{人文景观;非遗体验},30.666437,104.052651,9:00,21:30,120,0,1,4.8
8,都江堰中华大熊猫苑(原熊猫乐园),{游乐园/体育娱乐;亲子友好},30.866632,103.583705,8:30,17:00,53,1.5,2,4.7
9,文殊坊,{商业街区;美食目的地;夜经济热点},30.678921,104.079826,0:00,24:00,0,0,1,4.8
10,四川省川剧院,{人文景观;非遗体验},30.657672,104.075232,20:00,21:20,80,3,4,4.7
11,熊猫谷,{自然风光;亲子友好;小众秘境},30.968148,103.596947,7:30,18:00,0,1.5,2,4.7
12,文殊院,{历史古迹},30.681322,104.079,8:00,17:00,0,1.5,3,4.9
13,成都自然博物馆,{博物馆/纪念馆;亲子友好;沉浸式体验},30.684748,104.150995,9:00,17:00,20,1.5,3,4.8
14,成都动物园,{游乐园/体育娱乐;亲子友好;城市地标},30.715302,104.112537,8:00,17:30,20,1.5,2,4.8
15,宽窄巷子,{商业街区;网红打卡点;美食目的地;夜经济热点},30.669938,104.059763,0:00,24:00,0,1,2,4.7
16,成都欢乐谷,{游乐园/体育娱乐;沉浸式体验;亲子友好;},30.728966,104.040363,10:00,21:00,150,2,3,4.8
17,成都极地海洋公园,{游乐园/体育娱乐;亲子友好;沉浸式体验},30.500235,104.080551,9:30,17:30,255,2.5,4,4.6
18,锦里古街,{商业街区;网红打卡点;美食目的地;夜经济热点},30.651906,104.056257,0:00,24:00,0,1,2,4.7
19,四川博物院,{博物馆/纪念馆;城市地标;节庆限定},30.666735,104.040142,9:00,17:00,0,2,3,4.7
