id,name,type,lat,lon,opentime,endtime,price,recommendmintime,recommendmaxtime,star
0,世界之窗,{游乐园/体育娱乐;亲子友好;沉浸式体验;网红打卡点},22.540746,113.979399,9:30,21:30,115,2,3,4.7
1,锦绣中华民俗村,{文化旅游区;网红打卡点;夜经济热点},22.537131,113.995003,10:00,21:00,69,0.5,2,4.7
2,深圳平安金融中心云际观光层,{人文景观;网红打卡点;城市地标},22.538844,114.062186,10:00,20:00,180,0.5,1.5,4.7
3,深圳欢乐谷,{游乐园/体育娱乐;沉浸式体验;亲子友好;网红打卡点},22.548012,113.986939,10:00,19:00,130,0.5,1.5,4.7
4,深圳野生动物园,{游乐园/体育娱乐;亲子友好;沉浸式体验},22.602723,113.97699,9:30,18:00,99,1.5,2,4.5
5,东部华侨城,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.632382,114.294208,9:30,18:00,200,1,2,4.4
6,欢乐港湾,{游乐园/体育娱乐;夜经济热点;沉浸式体验;亲子友好;网红打卡点},22.550112,113.888645,10:30,22:00,0,1,2,4.8
7,大梅沙海滨公园,{公园;亲子友好;网红打卡点},22.598129,114.313955,7:00,22:00,0,2,2.5,4.8
8,招商蛇口邮轮母港游览,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.474665,113.919967,7:00,21:00,0,2,3,4.9
9,地王观光·深港之窗,{人文景观;网红打卡点;城市地标},22.54878,114.116522,8:00,22:30,79,2,3,4.3
10,大湾区一号（港珠澳大桥航线）,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.474665,113.919967,0:00,24:00,0,2,3,4.6
11,玫瑰海岸文化旅游度假区,{文化旅游区;夜经济热点;网红打卡点},22.615927,114.383865,0:00,24:00,46,2,2.5,4.5
12,深圳湾公园,{公园;亲子友好},22.524806,113.969405,6:00,23:00,0,3,4,4.8
13,甘坑古镇,{文化旅游区;网红打卡点;夜经济热点},22.663821,114.10953,0:00,24:00,26,3,4,4.7
14,小梅沙度假村,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.60689,114.334468,10:00,21:00,45,0.5,2,4.3
15,桔钓沙,{自然风光;网红打卡点},22.561188,114.562404,9:00,18:00,0,2,3,4.7
16,大鹏半岛,{自然风光;网红打卡点;城市地标},22.534605,114.537454,0:00,24:00,0,2,2.5,4.8
17,东门老街,{商业街区;夜经济热点;美食目的地;网红打卡点},22.550461,114.122671,0:00,24:00,0,2,3,4.9
18,深圳华侨城旅游度假区,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.544406,113.99117,0:00,24:00,0,0.5,1,4.8
19,深圳欢乐海岸,{游乐园/体育娱乐;夜经济热点;沉浸式体验;亲子友好;网红打卡点},22.529689,113.994371,0:00,24:00,0,0.5,1,4.8
20,西涌,{自然风光;网红打卡点},22.487953,114.557066,0:00,24:00,0,2.5,3,4.5
21,二十四史书院,{文化旅游区;网红打卡点;非遗体验},22.667374,114.107486,10:30,21:30,39,3,3.5,4.5
22,中英街,{商业街区;夜经济热点;美食目的地;网红打卡点},22.551336,114.238571,9:00,22:00,0,2,2.5,4.6
23,蛇口工业区,{商业街区;夜经济热点;美食目的地;网红打卡点},22.489321,113.922707,6:15,22:00,0,2,3,4.8
24,观澜海洋世界,{游乐园/体育娱乐;亲子友好;沉浸式体验;网红打卡点},22.727389,114.084971,9:00,18:00,135,0.5,1,4.4
25,东部华侨城大侠谷,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.614742,114.30781,9:30,18:00,200,1.5,2,3.7
26,杨梅坑,{自然风光;网红打卡点},22.550779,114.578274,0:00,24:00,0,2,3,4.6
27,红树林海滨生态公园,{公园;亲子友好;网红打卡点},22.529593,114.007715,9:00,18:00,0,0.5,1.5,4.7
28,深圳博物馆,{博物馆/纪念馆;亲子友好;非遗体验;城市地标},22.549321,114.068288,10:00,18:00,0,2,2.5,4.7
29,深圳市民中心,{人文景观;城市地标},22.549351,114.066182,0:00,24:00,0,3,4,4.8
30,欢乐海岸海洋奇梦馆,{游乐园/体育娱乐;夜经济热点;沉浸式体验;亲子友好;网红打卡点},22.531987,113.994672,13:30,22:00,45,2,3,4.4
31,青青世界,{游乐园/体育娱乐;亲子友好;沉浸式体验;网红打卡点},22.505076,113.907639,8:30,18:00,76,1.5,2,4.5
32,深圳玛雅海滩水公园,{游乐园/体育娱乐;沉浸式体验;亲子友好;网红打卡点},22.547982,113.985916,13:00,21:00,130,2,2.5,4.6
33,蛇口港珠海游轮,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.474693,113.919947,7:30,21:30,0,0.5,1.5,4.8
34,大鹏所城,{历史古迹;城市地标;非遗体验},22.600032,114.520096,0:00,24:00,0,1,2.5,4.7
35,海上世界,{游乐园/体育娱乐;亲子友好;沉浸式体验;网红打卡点},22.488788,113.92358,0:00,24:00,88,0.5,1,4.8
36,金色海岸,{自然风光;夜经济热点;网红打卡点},22.590567,114.284875,17:00,17:30,0,0.5,1,4.8
37,仙湖植物园,{公园;亲子友好;网红打卡点},22.583562,114.181318,0:00,18:00,0,1,2,4.8
38,广东梧桐山国家森林公园,{公园;亲子友好},22.5838,114.221632,6:00,19:00,0,2.5,3,4.6
39,莲花山公园,{公园;亲子友好},22.559257,114.065193,6:30,23:00,0,1,2,4.8
40,深圳观光巴士,{游乐园/体育娱乐;亲子友好},22.527998,113.998652,9:00,17:00,50,0.5,2,4.3
41,较场尾,{人文景观;网红打卡点},22.596202,114.51552,6:00,22:00,300,1,1.5,3.9
42,南头古城,{历史古迹;城市地标;夜经济热点},22.549163,113.927048,0:00,24:00,0,0.5,1,4.7
43,大芬油画村,{人文景观;网红打卡点},22.615801,114.142665,9:30,17:30,0,2.5,4,4.7
44,海上田园,{自然风光;网红打卡点},22.731941,113.777756,9:00,21:00,49.9,2.5,3,4.1
45,凤凰古村,{文化旅游区;网红打卡点;非遗体验},22.697435,113.845676,0:00,24:00,0,3,4,4.4
46,盐田海滨栈道,{公园;亲子友好;网红打卡点},22.558678,114.248517,0:00,24:00,0,2,3.5,4.6
47,海上世界文化艺术中心,{美术馆/艺术馆;亲子友好;网红打卡点;沉浸式体验},22.486077,113.922944,10:00,19:00,0,2,3,4.7
48,观澜湖休闲旅游区,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.744351,114.083908,0:00,24:00,0,1.5,3,4.3
49,观澜湖生态运动公社,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.724672,114.085207,9:00,18:00,29.9,1,2,3.6
50,深圳科学馆,{博物馆/纪念馆;亲子友好;城市地标},22.548485,114.102354,0:00,24:00,0,2,2.5,4.7
51,荷兰花卉小镇,{公园;亲子友好;网红打卡点},22.549735,113.91787,8:30,21:00,0,1,2,4.7
52,深圳人才公园,{公园;亲子友好;小众秘境},22.512223,113.955487,6:00,23:00,0,0.5,1,4.8
53,锦绣中华,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.539142,113.997118,16:00,21:00,0,0.5,1,4.7
54,南山公园,{公园;亲子友好},22.500143,113.912003,0:00,24:00,0,1,1.5,4.8
55,南山,{公园;亲子友好},22.502974,113.91291,0:00,24:00,0,0.5,1,4.8
56,华侨城创意文化园,{文化旅游区;网红打卡点;夜经济热点},22.543649,113.99986,0:00,24:00,0,2.5,3,4.7
57,光明农场大观园,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.764237,113.968991,9:00,17:00,72.9,0.5,2,4.1
58,湾区游轮,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.474317,113.920446,0:00,24:00,0,3,3.5,4.7
59,深圳市天文台,{人文景观;网红打卡点;城市地标},22.48556,114.565898,9:00,12:00,0,1,2,4.8
60,大梅沙海滩,{自然风光;网红打卡点;城市地标},22.59867,114.315742,7:00,23:00,0,3,3.5,4.8
61,深圳teamLab共创！未来园,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.534017,114.035093,10:00,22:00,79,0.5,1,4.6
62,深圳图书馆,{人文景观;网红打卡点;亲子友好},22.551343,114.063825,9:00,21:00,0,1.5,2,4.9
63,西涌滨海旅游度假区,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.481558,114.539055,9:00,24:00,0,0.5,1,4.5
64,大鹏半岛洲际游艇航海中心,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.560753,114.563888,0:00,24:00,0,0.5,1,4.6
65,深圳市当代艺术与城市规划馆,{博物馆/纪念馆;亲子友好;非遗体验;城市地标},22.551648,114.067947,10:00,18:00,0,3,4,4.8
66,深圳华润大厦艺术中心,{美术馆/艺术馆;网红打卡点;沉浸式体验},22.52058,113.953216,10:00,22:00,0,2,2.5,4.5
67,鹿嘴山庄,{自然风光;网红打卡点;城市地标},22.546455,114.613672,0:00,24:00,0,0.5,2,4.7
68,大运中心体育场,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.703088,114.224436,9:00,22:30,0,2,3.5,4.8
69,深圳会展中心（福田馆）,{商业街区;夜经济热点;美食目的地;网红打卡点},22.536478,114.066315,9:00,17:00,0,2.5,4,4.8
70,深圳机场码头游船,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.606327,113.821243,0:00,24:00,0,0.5,1,4.9
71,海上彩虹号,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.606327,113.821243,9:30,19:00,0,2,3.5,4.3
72,尼克Playtime乐园,{游乐园/体育娱乐;亲子友好;沉浸式体验;网红打卡点},22.53047,113.998454,10:00,21:00,0,0.5,1.5,4.5
73,虹桥公园,{公园;亲子友好;小众秘境},22.752728,113.959141,7:00,19:00,0,1,2.5,4.7
74,愿望塔,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.60106,114.316145,10:00,21:00,39,0.5,1,4.2
75,海边公园,{公园;亲子友好},22.539573,113.89869,0:00,24:00,0,0.5,1.5,4.7
76,观澜版画村,{文化旅游区;网红打卡点;夜经济热点},22.749032,114.097519,9:00,19:00,0,2,2.5,4.6
77,南澳第一沙滩,{自然风光;网红打卡点;城市地标},22.552902,114.488023,8:00,18:00,0,1,1.5,4.5
78,何香凝美术馆,{美术馆/艺术馆;网红打卡点;沉浸式体验},22.539465,113.988109,9:30,17:00,0,1.5,3,4.7
79,观澜山水田园文化园,{文化旅游区;网红打卡点;夜经济热点},22.720384,114.113827,8:30,21:00,99,1,2.5,4.1
80,直升机空中游览飞行观光,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.648063,113.829772,9:30,17:30,3980,1,2.5,4.7
81,大梅沙海滨栈道,{自然风光;网红打卡点},22.587526,114.312314,0:00,24:00,0,2.5,4,4.8
82,南山博物馆,{博物馆/纪念馆;亲子友好;非遗体验;城市地标},22.540715,113.93048,10:00,17:00,0,0.5,1.5,4.8
83,深圳国际园林花卉博览园,{公园;亲子友好;网红打卡点},22.544055,114.009914,6:00,23:00,0,1,2.5,4.8
84,七星湾游艇会,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.56827,114.547299,0:00,24:00,0,3,4,4.8
85,法拉帝游艇海钓俱乐部,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.561508,114.564975,0:00,24:00,0,2.5,4,4.7
86,蛇口口岸,{人文景观;网红打卡点},22.482004,113.919541,0:00,24:00,0,3,3.5,4.8
87,云里梦想乐园,{游乐园/体育娱乐;亲子友好;沉浸式体验;网红打卡点},22.636385,114.075714,9:00,22:00,93,2.5,3,4.4
88,星高度梦想水世界,{游乐园/体育娱乐;亲子友好;沉浸式体验;网红打卡点},22.637461,114.075476,15:30,21:00,0,2,2.5,3.7
89,西乡夜市街,{商业街区;夜经济热点;美食目的地;网红打卡点},22.58798,113.866194,16:00,1:00,0,2,3,4.4
90,宝安西湾红树林公园,{公园;亲子友好;网红打卡点},22.593597,113.843305,0:00,24:00,0,2,3.5,4.7
91,观澜古墟,{历史古迹;城市地标;非遗体验},22.724749,114.060326,8:00,24:00,0,2,2.5,4.5
92,海昌·乐漫冰雪王国(深圳海雅店),{游乐园/体育娱乐;沉浸式体验;亲子友好;网红打卡点},22.565974,113.912226,10:00,22:00,178,0.5,1.5,4.6
93,弘法寺,{人文景观;网红打卡点},22.583514,114.188174,0:00,18:00,0,1.5,3,4.8
94,奈尔宝家庭中心(卓悦店),{游乐园/体育娱乐;亲子友好;沉浸式体验},22.54231,114.070901,10:00,21:00,0,0.5,1,4.5
95,大梅沙游艇出租中心,{游乐园/体育娱乐;沉浸式体验;亲子友好},22.603396,114.320606,0:00,23:00,0,3,3.5,3.8
96,福田红树林生态公园,{公园;亲子友好;网红打卡点},22.517213,114.049388,6:00,23:00,0,2.5,3,4.7
