id,name,type,lat,lon,opentime,endtime,price,recommendmintime,recommendmaxtime,star
0,长江索道,{游乐园/体育娱乐;网红打卡点;城市地标;夜经济热点},29.563863,106.589285,8:00,22:00,20,0.5,1,4.8
1,武隆天生三桥,{自然风光},29.439361,107.811703,8:30,16:30,125,1.5,3,4.6
2,武隆喀斯特旅游区,{自然风光},29.42398,107.774556,8:30,16:30,50,0.5,1,4.8
3,重庆动物园,{游乐园/体育娱乐;亲子友好;网红打卡点},29.509218,106.512622,8:00,17:00,24.5,1,2,4.8
4,重庆两江游,{游乐园/体育娱乐;夜经济热点;沉浸式体验},29.56859,106.582999,12:00,22:00,138,1,1.5,4.9
5,仙女山国家森林公园,{公园;夜经济热点},29.503326,107.745381,0:00,24:00,50,1.5,3,4.7
6,洪崖洞,{文化旅游区;网红打卡点;夜经济热点;城市地标},29.568126,106.584807,9:00,23:00,0,3,3.5,4.8
7,重庆湖广会馆,{历史古迹;城市地标},29.563904,106.59329,9:00,19:00,25,1,2.5,4.7
8,白帝城·瞿塘峡景区,{文化旅游区;小众秘境},31.047242,109.581821,8:30,19:00,95,1,1.5,4.7
9,磁器口古镇,{历史古迹;夜经济热点;美食目的地;非遗体验},29.587707,106.456424,0:00,24:00,0,3,3.5,4.8
10,大足石刻,{历史古迹},29.75248,105.776324,8:30,18:00,110,2.5,4,4.6
11,重庆云端之眼观景台,{人文景观;网红打卡点;城市地标;夜经济热点},29.563434,106.588648,9:00,23:00,68,0.5,2,4.7
12,重庆欢乐谷,{游乐园/体育娱乐;亲子友好;沉浸式体验;夜经济热点},29.672873,106.521005,9:30,22:00,0,2.5,3,4.8
13,巫山小三峡,{自然风光;小众秘境},31.086515,109.89477,8:00,18:00,113,0.5,1.5,4.7
14,解放碑步行街,{商业街区;网红打卡点;夜经济热点;城市地标},29.563503,106.583623,0:00,24:00,0,0.5,1.5,4.8
15,龙水峡地缝,{自然风光;小众秘境},29.408623,107.798411,8:30,16:30,105,3,3.5,4.7
16,两江小渡,{红色景点;夜经济热点},29.56859,106.582999,9:00,17:00,0,1.5,3,4.8
17,三峡之巅,{自然风光},31.032433,109.63163,8:30,19:00,0,1,1.5,4.7
18,重庆大轰炸“六五”隧道惨案史实展馆,{博物馆/纪念馆;红色景点},29.560086,106.582184,10:00,18:00,0,1,2.5,4.6
19,丰都鬼城名山景区,{人文景观;网红打卡点},29.892005,107.732401,7:30,17:20,85,1,2,4.2
20,816工程景区,{红色景点},29.560626,107.519088,9:00,17:00,60,1.5,2,4.7
21,渣滓洞,{红色景点;历史古迹},29.591536,106.439875,9:00,17:00,0,0.5,2,4.3
22,南山风景区,{自然风光},29.561731,106.628824,0:00,24:00,0,0.5,1,4.8
23,乌江画廊,{自然风光;小众秘境},29.197188,108.220093,0:00,24:00,162,1,2.5,4.6
24,蚩尤九黎城,{人文景观;网红打卡点;夜经济热点},29.322644,108.134658,8:30,17:30,79,3,3.5,4.5
25,李子坝轻轨站,{人文景观;网红打卡点;城市地标;夜经济热点},29.559022,106.544144,6:30,23:16,0,1.5,2,4.9
