id,name,type,lat,lon,opentime,endtime,price,recommendmintime,recommendmaxtime,star
0,上海迪士尼度假区,{游乐园/体育娱乐;沉浸式体验;亲子友好;网红打卡点},31.148267,121.671964,8:30,21:30,399,2,3.5,4.9
1,东方明珠,{人文景观;网红打卡点;城市地标},31.245417,121.50635,9:00,21:00,199,0.5,2,4.8
2,外滩,{人文景观;夜经济热点;网红打卡点;城市地标},31.243453,121.497204,0:00,24:00,0,1.5,2,4.9
3,上海海昌海洋公园,{游乐园/体育娱乐;沉浸式体验;亲子友好;网红打卡点},30.920947,121.910782,9:30,18:00,149,1,2,4.6
4,豫园,{文化旅游区;网红打卡点;夜经济热点},31.232431,121.49909,9:00,16:30,40,0.5,1,4.8
5,上海野生动物园,{游乐园/体育娱乐;亲子友好;沉浸式体验;网红打卡点},31.06138,121.727995,9:00,22:00,165,1.5,3,4.6
6,黄浦江游览(十六铺码头),{游乐园/体育娱乐;沉浸式体验;亲子友好},31.23371,121.504723,11:00,22:00,108,2,3,4.5
7,黄浦江,{人文景观;网红打卡点;城市地标},31.24412,121.499605,0:00,24:00,0,0.5,2,4.9
8,上海天文馆,{博物馆/纪念馆;亲子友好;城市地标},30.918563,121.932414,9:30,16:00,0,1.5,2,4.7
9,上海博物馆,{博物馆/纪念馆;亲子友好;城市地标},31.234149,121.482358,9:00,17:00,0,0.5,1,4.6
10,上海海洋水族馆,{游乐园/体育娱乐;亲子友好;沉浸式体验;网红打卡点},31.246755,121.508587,9:00,18:00,155,1,2.5,4.6
11,上海中心大厦,{商业街区;夜经济热点;美食目的地;网红打卡点},31.239171,121.512035,8:30,22:00,180,1.5,3,4.8
12,上海之巅观光厅,{人文景观;网红打卡点;城市地标},31.239112,121.512114,8:30,22:00,180,2,3,4.6
13,磁浮列车,{网红打卡点},31.208606,121.567908,6:45,21:42,50,2,2.5,4.8
14,迪士尼小镇,{游乐园/体育娱乐;夜经济热点;沉浸式体验;亲子友好;网红打卡点},31.145926,121.668349,10:00,22:00,0,0.5,1,4.8
15,城隍庙,{历史古迹;城市地标;网红打卡点},31.232396,121.497994,0:00,24:00,10,0.5,1,4.9
16,上海动物园,{游乐园/体育娱乐;亲子友好;沉浸式体验;网红打卡点},31.198678,121.369418,8:00,18:30,40,0.5,1,4.8
17,南京路步行街,{商业街区;夜经济热点;美食目的地;网红打卡点},31.243231,121.4907,0:00,24:00,0,1,2,4.8
18,上海千古情,{游乐园/体育娱乐;亲子友好;沉浸式体验;网红打卡点},31.1929,121.491182,10:00,18:30,298,1.5,3,4.7
19,上海欢乐谷,{游乐园/体育娱乐;沉浸式体验;亲子友好;网红打卡点},31.101969,121.22572,9:30,19:00,150,2,3,4.8
20,上海杜莎夫人蜡像馆,{游乐园/体育娱乐;亲子友好;沉浸式体验;网红打卡点},31.240759,121.480735,10:00,19:00,165,0.5,1,4.7
21,陆家嘴,{商业街区;夜经济热点;美食目的地;网红打卡点},31.240944,121.512267,0:00,24:00,0,1.5,3,4.5
22,上海自然博物馆,{博物馆/纪念馆;亲子友好;城市地标},31.241221,121.469143,9:00,17:00,0,0.5,1,4.7
23,静安雕塑公园,{公园;亲子友好},31.240967,121.47046,0:00,24:00,0,0.5,1,4.8
24,金茂大厦,{商业街区;夜经济热点;美食目的地;网红打卡点},31.241027,121.512255,8:30,21:30,98,0.5,2,4.8
25,金茂大厦88层观光厅,{人文景观;网红打卡点;城市地标},31.241024,121.512231,8:30,21:30,98,2,3.5,4.6
26,上海薰衣草公园,{公园;亲子友好;网红打卡点},31.147702,121.681945,0:00,24:00,0,0.5,2,4.7
27,广富林文化遗址,{历史古迹;城市地标;网红打卡点;夜经济热点},31.068942,121.20374,9:00,17:00,0,2.5,4,4.8
28,上海影视乐园,{游乐园/体育娱乐;亲子友好;沉浸式体验;网红打卡点},31.016708,121.318804,8:30,20:30,69,1,1.5,4.5
29,都市观光巴士,其它,31.244773,121.507435,9:00,19:00,57,1,2,4.7
30,浦东美术馆,{美术馆/艺术馆;网红打卡点;沉浸式体验},31.243762,121.50292,10:00,21:00,80,2,2.5,4.8
31,外滩观光隧道,{人文景观;夜经济热点;网红打卡点;城市地标},31.245464,121.497875,9:00,22:30,45,2.5,3,3.6
32,朱家角古镇景区,{文化旅游区;网红打卡点;夜经济热点},31.115934,121.060362,8:30,18:00,0,1,2.5,4.7
33,上海乐高探索中心,{游乐园/体育娱乐;亲子友好;沉浸式体验;网红打卡点},31.229002,121.402378,10:30,18:30,199,2,3.5,4.5
34,黄浦江游览（东方明珠码头）,{游乐园/体育娱乐;沉浸式体验;亲子友好},31.246281,121.503539,10:00,21:00,90,0.5,1.5,4.8
35,威尼斯小镇,{人文景观;网红打卡点;城市地标},31.23644,121.384053,0:00,24:00,0,2.5,3,4.3
36,上海汽车博物馆,{博物馆/纪念馆;亲子友好;城市地标},31.284695,121.1767,9:30,16:30,55,1,2,4.7
37,浦江游览,{游乐园/体育娱乐;沉浸式体验;亲子友好},31.234882,121.50318,11:00,22:00,108,1.5,2,4.8
38,中国航海博物馆,{博物馆/纪念馆;亲子友好;城市地标},30.902445,121.926006,9:30,16:00,27,2.5,3,4.7
39,田子坊,{商业街区;美食目的地;网红打卡点},31.214113,121.474974,0:00,24:00,0,2.5,3,4.6
40,静安寺,{历史古迹;城市地标;网红打卡点},31.229947,121.451595,7:30,17:00,0,2,2.5,4.4
41,武康路,{商业街区;夜经济热点;美食目的地;网红打卡点},31.213621,121.44636,0:00,24:00,0,1,2,4.8
42,上海大自然野生昆虫馆,{游乐园/体育娱乐;亲子友好;沉浸式体验},31.246055,121.504313,9:00,17:00,88,0.5,1.5,4.9
43,疯狂动物城,{游乐园/体育娱乐;亲子友好;沉浸式体验;网红打卡点},31.148267,121.671964,8:30,21:30,0,2,2.5,4.9
44,人民广场,{公园;亲子友好},31.235297,121.481144,0:00,24:00,0,1.5,2,4.8
45,上海电影博物馆,{博物馆/纪念馆;亲子友好;城市地标},31.192501,121.444536,9:30,16:30,60,2.5,3,4.7
46,迪士尼朋友见面处,{游乐园/体育娱乐;沉浸式体验;亲子友好;网红打卡点},31.147937,121.668419,8:30,15:00,0,0.5,2,4.8
47,世博会博物馆,{博物馆/纪念馆;亲子友好;城市地标},31.200189,121.488325,9:00,17:00,0,1.5,2,4.8
48,BUS TOUR 上海观光游,{游乐园/体育娱乐;沉浸式体验;亲子友好;网红打卡点},31.240484,121.480839,9:00,17:30,60,3,3.5,4.4
49,蓝精灵乐园-上海世茂精灵之城主题乐园,{游乐园/体育娱乐;亲子友好;沉浸式体验;网红打卡点},31.068019,121.165801,10:00,18:00,156,2,3,4.5
50,上海环球金融中心,{人文景观;网红打卡点;城市地标},31.241063,121.513399,7:00,21:00,180,2,3.5,4.7
51,星愿公园,{公园;亲子友好;网红打卡点},31.14241,121.66966,10:00,18:00,0,1,1.5,4.5
52,上海玛雅海滩水公园,{游乐园/体育娱乐;沉浸式体验;亲子友好;网红打卡点},31.102329,121.215427,10:00,19:00,88,0.5,2,4.7
53,黄浦江游览（金陵东路码头）,{人文景观;网红打卡点;城市地标},31.237792,121.499969,15:30,20:00,88,0.5,1,4.1
54,震旦博物馆,{博物馆/纪念馆;亲子友好;城市地标},31.240324,121.506166,10:00,17:00,60,0.5,2,4.7
55,“快乐船长”黄浦江游船,{游乐园/体育娱乐;沉浸式体验;亲子友好;网红打卡点},31.231249,121.507829,18:30,20:30,268,1,1.5,4.1
56,上海长风海洋世界,{游乐园/体育娱乐;亲子友好;沉浸式体验;网红打卡点},31.230932,121.403475,9:30,18:00,149,1,2,4.4
57,上海玻璃博物馆,{博物馆/纪念馆;亲子友好},31.349786,121.478542,10:00,17:00,80,1.5,2,4.6
58,上海四行仓库抗战纪念馆,{博物馆/纪念馆;亲子友好},31.246263,121.477852,9:00,12:00,0,2,3,4.8
59,上海博物馆(东馆),{博物馆/纪念馆;亲子友好;城市地标},31.225454,121.544678,10:00,18:00,0,2,3,4.8
60,申城观光双层巴士,{游乐园/体育娱乐;沉浸式体验;亲子友好;网红打卡点},31.245045,121.507363,10:00,18:00,49,3,3.5,4.3
61,安徒生童话乐园,{游乐园/体育娱乐;亲子友好;沉浸式体验;网红打卡点},31.329324,121.518034,0:00,24:00,75,0.5,1,4.1
62,武康大楼,{商业街区;夜经济热点;美食目的地;网红打卡点},31.210733,121.44472,0:00,24:00,0,2.5,4,4.8
63,上海观复博物馆,{博物馆/纪念馆;亲子友好},31.23925,121.512312,10:00,17:00,88,1.5,2,4.6
64,光明生态园,{公园;亲子友好;网红打卡点},31.153317,121.677506,9:00,17:00,0,1,2,4.4
65,思南公馆,{文化旅游区;夜经济热点;网红打卡点},31.220366,121.475006,0:00,24:00,0,0.5,1,4.8
66,上海辰山植物园,{公园;亲子友好;网红打卡点},31.081652,121.189078,8:00,17:30,60,0.5,1,4.7
