id,name,type,lat,lon,opentime,endtime,price,recommendmintime,recommendmaxtime,star
0,黄鹤楼,{历史古迹;城市地标;网红打卡点;非遗体验},30.550317,114.309043,8:30,18:00,65,0.5,1.5,4.8
1,晴川阁,{历史古迹;城市地标;网红打卡点;非遗体验},30.561283,114.291314,9:00,21:30,0,2,3.5,4.7
2,湖北省博物馆,{博物馆/纪念馆;亲子友好;城市地标;非遗体验},30.567827,114.371879,9:00,17:00,0,2,3,4.8
3,武汉欢乐谷,{游乐园/体育娱乐;沉浸式体验;亲子友好;网红打卡点},30.597669,114.400799,9:30,18:00,200,2.5,3,4.8
4,汉口江滩,{公园;夜经济热点;亲子友好;网红打卡点},30.61254,114.322857,0:00,24:00,0,0.5,1,4.8
5,武汉文旅集团·夜游长江,{游乐园/体育娱乐;沉浸式体验;亲子友好},30.59431,114.314937,18:00,22:00,68,0.5,1.5,4.8
6,东湖,{公园;亲子友好;网红打卡点},30.557869,114.420005,0:00,24:00,0,1,2,4.9
7,知音号,{游乐园/体育娱乐;沉浸式体验;亲子友好},30.602236,114.317824,10:00,16:30,268,2.5,4,4.7
8,武汉大学,{大学校园;网红打卡点;城市地标;亲子友好},30.544219,114.37213,8:00,18:00,0,1.5,3,5
9,武汉极地海洋公园,{游乐园/体育娱乐;沉浸式体验;亲子友好;网红打卡点},30.670265,114.284434,9:30,17:30,275,3,4,4.7
10,夜上黄鹤楼,{人文景观;网红打卡点;城市地标;非遗体验},30.550317,114.309043,19:30,22:00,120,2.5,3,4.8
11,户部巷,{商业街区;夜经济热点;美食目的地;网红打卡点},30.552948,114.304701,0:00,24:00,0,2,3.5,4.5
12,武汉动物园,{游乐园/体育娱乐;亲子友好;猫狗特色;沉浸式体验;网红打卡点},30.549057,114.249694,9:00,17:00,40,3,4,4.6
13,汉秀剧场,{游乐园/体育娱乐;沉浸式体验;亲子友好},30.558093,114.354315,0:00,24:00,229,1,2.5,4.6
14,武汉长江大桥,{人文景观;网红打卡点;城市地标;非遗体验},30.55536,114.294997,0:00,24:00,0,2.5,4,4.8
15,木兰天池,{自然风光;网红打卡点;城市地标},31.183693,114.291544,8:00,17:30,70,1,2.5,4.3
16,黄陂木兰文化生态旅游区,{文化旅游区;网红打卡点;夜经济热点},30.964943,114.467793,0:00,24:00,60,2.5,4,4.5
17,武汉园博园(武汉自然博物馆),{博物馆/纪念馆;亲子友好;城市地标;非遗体验},30.632221,114.222347,0:00,24:00,39.9,0.5,2,4.7
18,古德寺,{历史古迹;城市地标;网红打卡点},30.624232,114.314087,8:30,16:30,0,1.5,2,4.9
19,江汉路步行街,{商业街区;夜经济热点;美食目的地;网红打卡点},30.589044,114.29496,0:00,24:00,0,3,4,4.8
20,木兰草原,{自然风光;网红打卡点},30.965586,114.46698,0:00,24:00,65,2,3.5,4.5
21,东湖磨山景区,{公园;亲子友好;网红打卡点},30.554413,114.419725,8:00,17:00,0,1.5,2,4.8
22,武汉植物园,{公园;亲子友好;网红打卡点},30.550553,114.429948,8:00,17:00,33,0.5,1,4.7
23,武汉杜莎夫人蜡像馆,{游乐园/体育娱乐;亲子友好;沉浸式体验;网红打卡点},30.561264,114.350992,10:00,21:30,120,2.5,4,4.6
24,辛亥革命武昌起义纪念馆,{红色景点;城市地标},30.547867,114.312911,9:00,17:00,0,2,3,3.9
25,武汉文旅集团·粤汉码头(夜游长江),{游乐园/体育娱乐;沉浸式体验;亲子友好},30.595146,114.313251,18:00,22:00,0,2.5,3,4.8
26,长江荣耀游船,{游乐园/体育娱乐;沉浸式体验;亲子友好;网红打卡点},30.586263,114.307447,18:00,21:00,0,1,2,4.7
