id,name,type,lat,lon,opentime,endtime,price,recommendmintime,recommendmaxtime,star
0,北京环球度假区,{游乐园/体育娱乐;沉浸式体验;网红打卡点;亲子友好},39.86099,116.68782,9:00,21:00,503,2,3,4.9
1,故宫博物院,{历史古迹;网红打卡点;城市地标},39.924091,116.403414,8:30,17:00,0,0.5,1,4.9
2,八达岭长城,{历史古迹;城市地标;网红打卡点},40.362639,116.024067,6:30,16:30,40,1,2.5,4.9
3,中国国家博物馆,{博物馆/纪念馆;城市地标},39.911449,116.408018,9:00,17:00,0,3,3.5,4.9
4,颐和园,{文化旅游区;城市地标},40.008817,116.280234,6:00,20:00,30,0.5,1,4.9
5,恭王府,{历史古迹},39.943381,116.392599,8:30,17:00,40,1,2,4.8
6,天坛,{历史古迹;城市地标},39.889918,116.419289,6:00,22:00,34,2.5,4,4.9
7,圆明园,{历史古迹},40.016191,116.309736,7:00,19:00,0,0.5,2,4.9
8,慕田峪长城,{历史古迹},40.440146,116.575896,7:30,18:00,45,0.5,1.5,4.8
9,北京动物园,{公园;亲子友好},39.947726,116.342331,7:30,19:00,15,1,2,4.8
10,北京野生动物园,{游乐园/体育娱乐;亲子友好},39.502139,116.340954,8:30,17:30,145,1,2.5,4.8
11,中国科学技术馆,{博物馆/纪念馆;沉浸式体验;亲子友好},40.012333,116.404938,9:30,17:00,0,2,2.5,4.8
12,奥林匹克公园,{游乐园/体育娱乐;城市地标},39.999245,116.399206,6:30,22:00,0,2.5,4,4.9
13,天安门广场,{人文景观;城市地标},39.910095,116.404091,0:00,22:00,0,0.5,1,4.9
14,雍和宫,{文化旅游区},39.953314,116.423776,9:00,17:00,0,1,2.5,4.9
15,鸟巢(国家体育场),{游乐园/体育娱乐;城市地标;网红打卡点},39.999285,116.402845,10:00,22:00,96,2.5,4,4.9
16,明十三陵,{历史古迹;非遗体验},40.263544,116.231846,8:30,18:00,30,1.5,3,4.7
17,什刹海,{人文景观;夜经济热点;美食目的地},39.948373,116.391243,0:00,24:00,0,1.5,3,4.9
18,国家自然博物馆,{博物馆/纪念馆;亲子友好},39.889596,116.406249,0:00,24:00,0,1,2.5,4.7
19,景山公园,{公园;城市地标;网红打卡点},39.932136,116.402966,6:00,21:00,0,2,3,4.8
20,中国人民革命军事博物馆,{博物馆/纪念馆;城市地标},39.914968,116.33021,9:00,17:00,0,2,2.5,4.2
21,中国地质博物馆,{博物馆/纪念馆;小众秘境},39.929388,116.378741,9:00,16:30,15,1.5,3,4.8
22,古北水镇,{文化旅游区;夜经济热点},40.661046,117.284632,9:00,22:30,140,2,2.5,4.7
23,北京欢乐谷,{游乐园/体育娱乐;沉浸式体验;夜经济热点;亲子友好},39.873868,116.501309,9:30,22:00,299,1,2.5,4.8
24,北京海洋馆,{游乐园/体育娱乐;亲子友好;沉浸式体验},39.950257,116.347445,9:00,17:30,0,0.5,1,4.6
25,北京天文馆,{博物馆/纪念馆;亲子友好;沉浸式体验},39.943008,116.34338,9:00,16:30,0,0.5,1,4.7
26,国家大剧院,{人文景观;城市地标;网红打卡点},39.91123,116.396261,9:00,17:00,27,1,2,4.9
27,香山公园,{公园;节庆限定},39.995693,116.194051,6:00,19:30,10,3,4,4.8
28,北海公园,{公园},39.934167,116.395006,6:00,21:00,0,2.5,4,4.9
29,南锣鼓巷,{商业街区;网红打卡点;夜经济热点},39.943166,116.4095,0:00,24:00,0,1,2.5,4.8
30,居庸关长城,{历史古迹;小众秘境},40.297394,116.078214,6:30,18:00,40,1,2,4.8
31,朝阳公园,{公园;亲子友好;夜经济热点},39.950002,116.489114,6:00,22:00,0,2.5,4,4.9
32,泡泡玛特城市乐园,{游乐园/体育娱乐;沉浸式体验;网红打卡点},39.948516,116.481208,10:00,20:00,148,0.5,1,4.7
33,水立方(国家游泳中心),{游乐园/体育娱乐;城市地标;网红打卡点},39.999266,116.396829,10:30,22:30,29,2,3,4.7
34,北京大观园,{人文景观},39.877081,116.362822,7:30,18:00,40,3,4,4.7
35,北京汽车博物馆,{博物馆/纪念馆;亲子友好;沉浸式体验},39.835043,116.308108,9:00,17:00,30,1,1.5,4.7
36,世界公园,{游乐园/体育娱乐;城市地标;网红打卡点},39.81671,116.293772,9:00,17:00,95,1,2.5,4.4
37,前门大街,{商业街区;美食目的地;夜经济热点},39.899651,116.40452,0:00,24:00,0,2.5,4,4.8
38,王府井,{商业街区;美食目的地;夜经济热点},39.91979,116.418038,0:00,24:00,0,3,3.5,4.9
39,天安门城楼,{历史古迹;城市地标},39.915407,116.403865,8:30,15:30,0,1,1.5,4.8
