id,name,type,lat,lon,opentime,endtime,price,recommendmintime,recommendmaxtime,star
0,拙政园,{园林;网红打卡点;亲子友好;城市地标},31.330247,120.63571,7:30,17:30,80,1.5,3,4.7
1,寒山寺,{历史古迹;城市地标;网红打卡点},31.316432,120.574955,7:30,17:30,18,1,2,4.8
2,枫桥景区,{文化旅游区;网红打卡点},31.315726,120.573506,7:30,17:30,0,1.5,2,4.8
3,周庄,{历史古迹;城市地标;网红打卡点;夜经济热点},31.121635,120.857425,7:30,21:00,100,2,2.5,4.6
4,狮子林,{园林;网红打卡点;亲子友好;城市地标},31.327124,120.63561,7:30,17:30,40,0.5,1,4.8
5,虎丘山风景名胜区,{自然风光;网红打卡点},31.341612,120.587391,7:30,18:00,70,2,3,4.8
6,留园,{园林;网红打卡点;亲子友好;城市地标},31.321729,120.598973,7:30,17:30,55,3,4,4.8
7,苏州博物馆,{博物馆/纪念馆;亲子友好;城市地标},31.329059,120.634317,9:00,17:00,0,1.5,3,4.8
8,同里古镇,{历史古迹;城市地标;网红打卡点;夜经济热点},31.162629,120.727691,8:00,17:15,80,2,3,4.5
9,山塘街,{商业街区;夜经济热点;美食目的地;网红打卡点},31.32316,120.609569,0:00,24:00,0,0.5,1,4.9
10,平江路历史街区,{历史古迹;夜经济热点;城市地标;网红打卡点},31.319908,120.641291,0:00,24:00,0,1.5,3,4.9
11,金鸡湖,{公园;亲子友好;网红打卡点},31.317298,120.70789,0:00,24:00,0,1,2,4.9
12,网师园,{园林;网红打卡点;亲子友好;城市地标},31.304178,120.640219,7:30,17:30,40,1,1.5,4.8
13,沧浪亭,{历史古迹;城市地标;网红打卡点;非遗体验},31.300614,120.632073,7:30,17:30,20,2,3,4.4
14,木渎古镇,{历史古迹;城市地标;网红打卡点;夜经济热点},31.257159,120.518618,8:30,17:00,66,1,2.5,4.7
15,姑苏水上游,{文化旅游区;网红打卡点;夜经济热点},31.29735,120.618024,9:00,20:30,0,2,2.5,4.6
